name,price,det,link
"KA3005DS Digital Control DC Power Supply 0~30V, 0~5A","3,950.00 EGP","DC Adjustable Switching Mode Power Supply
With uA & Power Displays
KORAD® Brand",/shop/ps-ka3005ds-korad-ka3005ds-digital-control-dc-power-supply-0-30v-0-5a-9085?page=4
"KA3005PS Programmable DC Power Supply 0~30V, 0~5A","5,500.00 EGP","DC Adjustable & Programmable Linear Power Supply
With uA & Power Displays 
USB + RS232 PC Interface
KORAD® Brand",/shop/ps-ka3005ps-korad-ka3005ps-programmable-dc-power-supply-0-30v-0-5a-9084?page=4
LUMEL SM61-IoT Data Logger for IoT Applications,"15,000.00 EGP",No description,/shop/sm61-iot-lumel-lumel-sm61-iot-data-logger-for-iot-applications-9083?page=4
ATTEN® ST-862D Professional Hot Air Station,"11,500.00 EGP",No description,/shop/atten-st862d-atten-r-st-862d-professional-hot-air-station-9077?page=4
ATTEN® ST-8802 2 in 1 Hot Air Rework Station,"8,000.00 EGP",No description,/shop/atten-st8802-2in-1-atten-r-st-8802-2-in-1-hot-air-rework-station-9076?page=4
ATTEN® ST-80 Digital Soldering Station 80W,"5,500.00 EGP",No description,/shop/atten-st80-80w-atten-r-st-80-digital-soldering-station-80w-9075?page=4
ATTEN® TIP T900-1.6K Lead-Free Soldering Iron Tip سن مشطوف فلات كبير,175.00 EGP,"For Models: ST-8865, ST-8802, 878D, 936D, 996D, 909D+, 908B, 900M, 933, 850, 907, 913, 951, 898D, 852D+, 852D or any compatible models.",/shop/tip-hot-atten-t9001-6k-atten-r-tip-t900-1-6k-lead-free-soldering-iron-tip-sn-mshtwf-flt-kbyr-9074?page=4
ATTEN® TIP T900-2C Lead-Free Soldering Iron Tip سن مشطوف مستدير,145.00 EGP,"For Models: ST-8865, ST-8802, 878D, 936D, 996D, 909D+, 908B, 900M, 933, 850, 907, 913, 951, 898D, 852D+, 852D or any compatible models.",/shop/tip-hot-atten-t900-2c-atten-r-tip-t900-2c-lead-free-soldering-iron-tip-sn-mshtwf-mstdyr-9073?page=4
ATTEN® TIP T900-I Lead-Free Soldering Iron Tip سن ابرة عدل,145.00 EGP,"For Models: ST-8865, ST-8802, 878D, 936D, 996D, 909D+, 908B, 900M, 933, 850, 907, 913, 951, 898D, 852D+, 852D or any compatible models.",/shop/tip-hot-atten-t900i-atten-r-tip-t900-i-lead-free-soldering-iron-tip-sn-br-dl-9072?page=4
FLA-20A 12V/24V AUTO Intelligent Battery Charger & Pulse Repair,"1,250.00 EGP","AGM/GEL/SLA/LiFePO4 (Lead Acid) All Types of Battery Charger
Replacement for SON-20",/shop/fla20a-auto-charger-fla-20a-12v-24v-auto-intelligent-battery-charger-pulse-repair-9071?page=4
FLA-10A 12V/24V AUTO Intelligent Battery Charger & Pulse Repair,850.00 EGP,"AGM/GEL/SLA/LiFePO4 (Lead Acid) All Types of Battery Charger
Replacement for SON-10",/shop/fla10a-auto-charger-fla-10a-12v-24v-auto-intelligent-battery-charger-pulse-repair-9070?page=4
Battery Holder 4x18650,25.00 EGP,No description,/shop/battery-holder-18650x4-battery-holder-4x18650-9069?page=4
Original LG Battery Lithium Li-Ion LG INR18650MH1 (LG MH1) 3200mAh 10A 4.2/3.7/2.5V Rechargeable,245.00 EGP,No description,/shop/battery-18650-lg-original-lg-battery-lithium-li-ion-lg-inr18650mh1-lg-mh1-3200mah-10a-4-2-3-7-2-5v-rechargeable-9064?page=4
Saft LS-14500 Lithium Battery 3.6V (Li-SOCI2),225.00 EGP,No description,/shop/battery-saft-ls14500-saft-ls-14500-lithium-battery-3-6v-li-soci2-9063?page=4
Saft LS-14250 Lithium Battery 3.6V (Li-SOCI2),150.00 EGP,No description,/shop/battery-saft-ls14250-saft-ls-14250-lithium-battery-3-6v-li-soci2-9062?page=4
MG996R Servo Motor 360° 11 kg.cm Metal Gears,210.00 EGP,Common model Servo 360 Degree,/shop/servo-mg996-360-mg996r-servo-motor-360deg-11-kg-cm-metal-gears-9061?page=4
